epoch,train_loss,val_loss,train_acc1,val_acc1,train_acc5,val_acc5
1,1.818940313987732,1.534470048904419,34.678,46.56,84.498,91.84
2,1.4512871557235718,1.3239272487640381,50.458,55.47,92.312,94.49
3,1.236914674797058,1.146775969696045,59.83,63.56,94.888,96.02
4,1.1187538020706176,1.0682051794052123,64.828,66.84,95.894,96.47
5,1.0331235158920289,1.0114444370269775,68.68,68.99,96.67,97.04
6,0.9479046275711059,0.9753837498664856,72.182,70.58,97.302,97.17
7,0.9018851041793823,0.9610299146652221,74.126,71.68,97.606,96.99
8,0.8531410801315308,0.8582352712631226,76.288,75.89,97.922,97.93
9,0.8166226103210449,0.8637937564849854,77.718,76.01,98.184,97.81
10,0.7809932971572876,0.855956147480011,79.384,76.31,98.44,97.55
11,0.7554091732597351,0.8983664395332337,80.436,74.15,98.556,97.29
12,0.7318793076705933,0.9300492915153503,81.304,73.13,98.618,97.53
13,0.7112007081604004,0.7780066185951233,82.406,79.17,98.684,98.35
14,0.6984044973373413,0.8132709857940674,82.858,78.03,98.746,97.49
15,0.6824562253189087,0.9866610243797302,83.496,71.5,98.852,96.74
16,0.6682245994186401,0.920412749671936,84.168,74.43,98.928,96.93
17,0.6576520454597473,0.8662549223899841,84.734,76.27,99.026,97.33
18,0.6487685295295715,0.77821259059906,85.046,79.42,98.966,98.23
19,0.6369882694244384,1.0852337794303895,85.454,67.47,98.994,96.18
20,0.6342747346115112,0.8751313374042511,85.554,76.06,99.022,97.09
21,0.6330710127830506,0.8764658257484436,85.63,75.75,98.968,97.62
22,0.6324597705078125,0.7913573544502258,85.636,79.18,99.056,97.65
23,0.6227057933425904,0.767691033744812,86.104,80.54,99.074,98.19
24,0.6256381391525269,0.8861098906517029,86.044,75.86,99.036,96.57
25,0.62431751455307,0.7853818566322327,86.03,79.46,98.996,97.76
26,0.6243674680137634,0.8646242197036743,86.198,76.16,99.048,97.68
27,0.6298567989730834,0.7864056944847106,85.932,79.25,99.024,97.92
28,0.6292927213287354,0.9400797022819519,85.924,74.13,99.06,95.12
29,0.6278809711837768,0.7812398607254029,85.954,79.87,98.986,98.25
30,0.6308798811340331,0.8583715501785278,85.798,76.72,99.058,97.66
31,0.6370356955337524,0.9089019425392151,85.526,74.52,99.014,96.64
32,0.6395366570281983,1.0943389171600342,85.416,67.71,99.03,95.07
33,0.6330919492530823,0.8617512007713318,85.904,76.88,98.988,97.36
34,0.6420489096069336,0.8024563347816467,85.352,78.72,98.996,97.9
