epoch,train_loss,val_loss,train_acc1,val_acc1,train_acc5,val_acc5
89,0.3017169791221619,0.5255014137744903,99.79,91.21,100.0,98.7
90,0.3018094896507263,0.5130085973739624,99.778,91.4,100.0,98.83
91,0.30042972954750063,0.5133858779907227,99.798,91.29,100.0,98.76
92,0.30085735525131224,0.5203293931961059,99.798,91.27,99.996,98.57
93,0.30062734460830687,0.5151177374839783,99.782,91.36,100.0,98.95
94,0.300803491230011,0.5195117111682892,99.798,91.44,99.996,98.68
95,0.29951822484016416,0.5176887002468109,99.806,91.13,100.0,99.04
96,0.29977488402366637,0.5109735865592957,99.798,91.38,100.0,98.75
97,0.3002639493083954,0.5141914974689483,99.804,91.47,100.0,98.63
98,0.29947814524650573,0.5128068260192871,99.816,91.69,99.998,98.73
99,0.29870346732139585,0.5198321544647216,99.836,91.58,100.0,98.87
100,0.29873416125297547,0.5195726462364196,99.85,91.3,99.998,98.5
